 sep=;
Ctg ID; Bus; Bus Name; Area; Zone; VBase (kV); V BC (pu); V Ctg (pu); VSupE (pu); Diff BC V (pu); Viol (pu); 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; -0.000; -0.009; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
MIRACE-TO500(7200) MI-GR1CAP500(7201) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; -0.000; 0.083; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; -0.000; 0.079; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 7257; VPII---PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 7271; VPIII--PI230; 772; 1; 230.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 8950; SGON-6UFV072; 771; 1; 34.5; 1.040; 1.040; 1.050; 0.000; -0.010; 
S.J.PI-PI500(5570) NOLIND-PI500(6743) #1; 7258; VPII---PI000; 772; 1; 991.0; 1.040; 1.040; 1.050; -0.000; -0.010; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 44669; RSFRANUFV000; 771; 1; 34.5; 1.133; 1.133; 1.050; 0.000; 0.083; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 44670; RSFRAN-PI034; 771; 1; 34.5; 1.129; 1.129; 1.050; 0.000; 0.079; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 8767; SGON-5-PI034; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 8766; SGON-5UFV048; 771; 1; 34.5; 1.041; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 6705; CHAPNH-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
S.J.PI-PI500(5570) FV_SJP-PI500(8167) #1; 6641; CURRAL-PI230; 772; 1; 230.0; 1.040; 1.041; 1.050; 0.000; -0.009; 
